vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y1664,29,72094677,417,0.0,STOPPED_AT,12.0,1664,42.297336,-71.087316,,,2025-12-09 13:01:48+00:00
y1431,105,71996939,5384,1.0,IN_TRANSIT_TO,14.0,1431,42.424291,-71.047743,,277.0,2025-12-09 13:01:57+00:00
y3243,57,71375074,971,0.0,STOPPED_AT,16.0,3243,42.349006,-71.150992,,265.0,2025-12-09 13:01:56+00:00
y1638,42,72093331,1172,1.0,STOPPED_AT,16.0,1638,42.324116,-71.088836,,40.0,2025-12-09 13:01:55+00:00
y1662,21,72094139,537,1.0,STOPPED_AT,3.0,1662,42.279889,-71.066567,,246.0,2025-12-09 13:01:56+00:00
y3324,439,71826201,4710,1.0,IN_TRANSIT_TO,43.0,3324,42.439915,-70.969036,,218.0,2025-12-09 13:01:59+00:00
y0827,245,71987512,32001,1.0,STOPPED_AT,1.0,0827,42.251997,-71.00504,,165.0,2025-12-09 13:01:57+00:00
y1314,746,72040636,74614,0.0,IN_TRANSIT_TO,4.0,1314,42.346901,-71.037851,,,2025-12-09 13:00:56+00:00
y1852,9,71465661,41,1.0,IN_TRANSIT_TO,6.0,1852,42.335613,-71.034978,,267.0,2025-12-09 13:01:54+00:00
dLF 951,716,71954744,71601,1.0,STOPPED_AT,1.0,LF 951,42.14003,-71.146418,,88.0,2025-12-09 13:01:56+00:00
y1268,39,72039570,11131,1.0,IN_TRANSIT_TO,8.0,1268,42.318068,-71.112621,,34.0,2025-12-09 13:01:42+00:00
y1406,134,71996600,6958,1.0,IN_TRANSIT_TO,39.0,1406,42.438712,-71.133117,,170.0,2025-12-09 13:01:49+00:00
y3159,78,71695672,2177,0.0,IN_TRANSIT_TO,8.0,3159,42.383423,-71.133024,,,2025-12-09 13:01:59+00:00
y1864,9,71465554,155,0.0,IN_TRANSIT_TO,12.0,1864,42.338898,-71.050978,,,2025-12-09 13:01:53+00:00
y1717,32,72094780,2819,0.0,IN_TRANSIT_TO,18.0,1717,42.255694,-71.124256,,186.0,2025-12-09 13:01:53+00:00
y1943,64,71694385,24486,0.0,STOPPED_AT,3.0,1943,42.365582,-71.091269,,287.0,2025-12-09 13:01:58+00:00
y2001,64,71694389,2231,1.0,IN_TRANSIT_TO,28.0,2001,42.36423,-71.08782,,135.0,2025-12-09 13:01:32+00:00
y2081,78,71695676,2472,1.0,IN_TRANSIT_TO,10.0,2081,42.41725,-71.18492,,135.0,2025-12-09 13:01:35+00:00
y0902,210,71987859,3057,1.0,IN_TRANSIT_TO,15.0,0902,42.272924,-71.024698,,,2025-12-09 13:01:51+00:00
y3279,747,71375266,2525,0.0,STOPPED_AT,15.0,3279,42.372755,-71.094577,,,2025-12-09 13:01:41+00:00
y1432,137,71997642,9300,1.0,IN_TRANSIT_TO,3.0,1432,42.521109,-71.10292,,88.0,2025-12-09 13:01:54+00:00
y1458,354,71996620,65,1.0,IN_TRANSIT_TO,42.0,1458,42.407438,-71.100806,,142.0,2025-12-09 13:01:57+00:00
y2105,67,71694803,79642,1.0,STOPPED_AT,3.0,2105,42.426934,-71.173726,,,2025-12-09 13:01:45+00:00
y1689,34E,72094626,636,1.0,STOPPED_AT,78.0,1689,42.286942,-71.127571,,34.0,2025-12-09 13:01:56+00:00
y1329,742,72039838,74612,0.0,IN_TRANSIT_TO,2.0,1329,42.353258,-71.050489,,,2025-12-09 13:01:52+00:00
y1283,751,72040591,6538,1.0,IN_TRANSIT_TO,12.0,1283,42.352492,-71.058833,,88.0,2025-12-09 13:01:49+00:00
y1207,28,72040815,390,1.0,IN_TRANSIT_TO,24.0,1207,42.315643,-71.083152,,,2025-12-09 13:01:52+00:00
ynk308,Shuttle-Generic,BL-112434614,,,IN_TRANSIT_TO,,308,42.348375,-71.075947,,,2025-12-09 12:59:50+00:00
y3280,16,71373858,547,0.0,IN_TRANSIT_TO,29.0,3280,42.3015,-71.108847,,282.0,2025-12-09 13:01:59+00:00
y1958,104,71995001,7096,0.0,STOPPED_AT,1.0,1958,42.37496,-71.02917,,225.0,2025-12-09 13:01:35+00:00
y3310,441,71826204,4786,0.0,STOPPED_AT,43.0,3310,42.488106,-70.881809,,49.0,2025-12-09 13:02:00+00:00
y1253,28,72040810,1737,1.0,IN_TRANSIT_TO,15.0,1253,42.29468,-71.08789,,0.0,2025-12-09 13:01:34+00:00
y1270,28,72040813,416,0.0,STOPPED_AT,19.0,1270,42.30046358,-71.08625848,,195.0,2025-12-09 13:01:55+00:00
y0854,132,71996838,5072,0.0,STOPPED_AT,1.0,0854,42.42701,-71.074597,,,2025-12-09 13:01:22+00:00
y1645,26,72093434,367,1.0,STOPPED_AT,2.0,1645,42.287438,-71.065034,,335.0,2025-12-09 13:01:55+00:00
y0818,215,71988008,3336,1.0,STOPPED_AT,10.0,0818,42.24255,-71.015038,,,2025-12-09 13:01:45+00:00
y3154,104,71995010,53270,1.0,STOPPED_AT,1.0,3154,42.42641,-71.074,,225.0,2025-12-09 13:01:04+00:00
y0805,222,71988268,32004,0.0,STOPPED_AT,1.0,0805,42.2525973,-71.0055423,,0.0,2025-12-09 13:01:35+00:00
y1277,749,72040032,64,1.0,STOPPED_AT,1.0,1277,42.329768,-71.084132,,116.0,2025-12-09 13:01:47+00:00
y1823,7,71467771,33,1.0,STOPPED_AT,1.0,1823,42.33867,-71.03171,,135.0,2025-12-09 13:01:21+00:00
y1747,15,71466310,1468,1.0,STOPPED_AT,8.0,1747,42.303829,-71.070677,,67.0,2025-12-09 13:01:55+00:00
y3299,501,71373894,71855,1.0,IN_TRANSIT_TO,15.0,3299,42.357434,-71.164532,,85.0,2025-12-09 13:01:59+00:00
y2026,109,71994835,5510,0.0,STOPPED_AT,23.0,2026,42.407839,-71.054859,,195.0,2025-12-09 13:01:59+00:00
y0835,240,71988054,334,0.0,STOPPED_AT,1.0,0835,42.2843483,-71.0639015,,0.0,2025-12-09 13:01:15+00:00
y1934,111,71993879,5547,1.0,STOPPED_AT,1.0,1934,42.41567,-71.033,,270.0,2025-12-09 13:01:17+00:00
y1989,350,71694308,11689,0.0,IN_TRANSIT_TO,43.0,1989,42.486108,-71.210547,,267.0,2025-12-09 13:01:59+00:00
y1861,708,71465255,10014,0.0,IN_TRANSIT_TO,2.0,1861,42.331089,-71.064814,,285.0,2025-12-09 13:01:54+00:00
y1716,34E,72094576,13618,0.0,IN_TRANSIT_TO,30.0,1716,42.248528,-71.172957,,225.0,2025-12-09 13:01:52+00:00
y1223,39,72039539,23391,0.0,STOPPED_AT,1.0,1223,42.34759,-71.07427,,225.0,2025-12-09 13:01:25+00:00
ynk225,Shuttle-Generic,BL-3517646,,,IN_TRANSIT_TO,,225,42.348959,-71.095938,,,2025-12-09 12:59:42+00:00
y1851,505,71466921,6550,1.0,IN_TRANSIT_TO,25.0,1851,42.357165,-71.121013,,104.0,2025-12-09 13:01:56+00:00
y3122,116,71825815,5709,1.0,IN_TRANSIT_TO,7.0,3122,42.416572,-71.00411,,274.0,2025-12-09 13:01:56+00:00
ynk237,Shuttle-Generic,BL-66115540,,,IN_TRANSIT_TO,,237,42.351555,-71.120656,,,2025-12-09 13:01:37+00:00
y0767,220,71988198,3545,0.0,STOPPED_AT,29.0,0767,42.245784,-70.935811,,67.0,2025-12-09 13:01:55+00:00
y1834,9,71465664,160,1.0,STOPPED_AT,13.0,1834,42.338191,-71.049864,,318.0,2025-12-09 13:01:54+00:00
y1760,16,71467396,2912,0.0,STOPPED_AT,18.0,1760,42.31291,-71.068463,,,2025-12-09 13:01:55+00:00
y1896,7,71467772,886,1.0,STOPPED_AT,6.0,1896,42.335929,-71.035359,,,2025-12-09 13:01:37+00:00
y3346,442,71825772,4807,1.0,STOPPED_AT,1.0,3346,42.50783,-70.8459,,90.0,2025-12-09 13:01:27+00:00
