vehicle_id,route_id,trip_id,stop_id,direction_id,current_status,current_stop_sequence,label,latitude,longitude,speed,bearing,updated_at
y2023,78,71695621,2152,1.0,STOPPED_AT,32.0,2023,42.388863,-71.144797,,108.0,2025-12-09 04:18:50+00:00
y2072,87,71694449,2600,1.0,IN_TRANSIT_TO,24.0,2072,42.377374,-71.089398,,,2025-12-09 04:18:50+00:00
ynk229,Shuttle-Generic,BL-117894238,,,IN_TRANSIT_TO,,229,42.352766,-71.118361,,,2025-12-09 04:18:07+00:00
y1857,22,71468332,1740,1.0,STOPPED_AT,17.0,1857,42.307849,-71.089216,,291.0,2025-12-09 04:18:51+00:00
ynk226,Shuttle-Generic,BL-106425297,,,IN_TRANSIT_TO,,226,42.348474,-71.076138,,,2025-12-09 04:18:44+00:00
y3144,110,71995035,5559,1.0,STOPPED_AT,30.0,3144,42.405622,-71.056817,,227.0,2025-12-09 04:18:51+00:00
ynk209,Shuttle-Generic,BL-89615949,,,IN_TRANSIT_TO,,209,42.201446,-71.064768,,,2025-12-09 04:16:11+00:00
y1895,1,71468314,93,0.0,IN_TRANSIT_TO,13.0,1895,42.346256,-71.087138,,315.0,2025-12-09 04:18:46+00:00
y1782,47,71467661,11809,0.0,STOPPED_AT,27.0,1782,42.348949,-71.108808,,,2025-12-09 04:18:45+00:00
y1313,743,72040985,7096,0.0,IN_TRANSIT_TO,5.0,1313,42.345781,-71.039348,,301.0,2025-12-09 04:18:46+00:00
ynk219,Shuttle-Generic,BL-116899630,,,IN_TRANSIT_TO,,219,42.201304,-71.06504,,,2025-12-09 04:14:47+00:00
y2048,134,71993652,5003,0.0,STOPPED_AT,19.0,2048,42.419524,-71.113691,,305.0,2025-12-09 04:18:51+00:00
y1809,66,71465958,1148,0.0,IN_TRANSIT_TO,2.0,1809,42.32888,-71.084645,,,2025-12-09 04:18:50+00:00
y1288,749,72040216,64,1.0,STOPPED_AT,1.0,1288,42.3297,-71.08381,,135.0,2025-12-09 04:18:36+00:00
y2043,64,71694334,1105,1.0,STOPPED_AT,7.0,2043,42.356175,-71.149418,,0.0,2025-12-09 04:18:47+00:00
y1218,28,72040683,17862,0.0,STOPPED_AT,1.0,1218,42.336278,-71.090043,,,2025-12-09 04:18:23+00:00
y3149,94,71993577,16316,0.0,IN_TRANSIT_TO,17.0,3149,42.421337,-71.136861,,16.0,2025-12-09 04:18:49+00:00
ynk228,Shuttle-Generic,BL-127989499,,,IN_TRANSIT_TO,,228,42.35,-71.103794,,,2025-12-09 04:18:54+00:00
y1333,741,72040258,74611,0.0,STOPPED_AT,1.0,1333,42.352482,-71.055401,,,2025-12-09 04:17:19+00:00
y1684,31,72094340,18511,1.0,STOPPED_AT,1.0,1684,42.26742,-71.09185,,270.0,2025-12-09 04:18:46+00:00
y1304,742,72039947,74611,0.0,STOPPED_AT,1.0,1304,42.350218,-71.044023,,,2025-12-09 04:18:14+00:00
y1844,8,71467271,131,0.0,STOPPED_AT,32.0,1844,42.325059,-71.065383,,143.0,2025-12-09 04:18:50+00:00
y1713,24,72093297,6377,0.0,STOPPED_AT,27.0,1713,42.258902,-71.117919,,2.0,2025-12-09 04:18:52+00:00
y1820,1,71468324,74,1.0,STOPPED_AT,9.0,1820,42.360546,-71.095675,,127.0,2025-12-09 04:18:48+00:00
y0904,225,71987781,32001,1.0,IN_TRANSIT_TO,27.0,0904,42.2526322,-71.0055417,,225.0,2025-12-09 04:18:04+00:00
ynk231,Shuttle-Generic,BL-50191944,,,IN_TRANSIT_TO,,231,42.348858,-71.075976,,,2025-12-09 04:17:33+00:00
y2009,91,71993548,29001,0.0,IN_TRANSIT_TO,16.0,2009,42.384988,-71.076183,,276.0,2025-12-09 04:18:48+00:00
ynk215,Shuttle-Generic,BL-113270580,,,IN_TRANSIT_TO,,215,42.201399,-71.065103,,,2025-12-09 03:58:58+00:00
y1848,66,71466190,32549,1.0,IN_TRANSIT_TO,2.0,1848,42.373776,-71.119376,,208.0,2025-12-09 04:18:49+00:00
y1777,22,71468338,17861,1.0,IN_TRANSIT_TO,29.0,1777,42.33441,-71.08963,,45.0,2025-12-09 04:18:47+00:00
y2022,109,71994791,2612,1.0,IN_TRANSIT_TO,37.0,2022,42.379308,-71.094102,,,2025-12-09 04:18:50+00:00
y1276,749,72040048,49001,0.0,STOPPED_AT,1.0,1276,42.35539,-71.06224,,315.0,2025-12-09 04:18:40+00:00
y2091,73,71695440,2026,0.0,IN_TRANSIT_TO,6.0,2091,42.376576,-71.127695,,18.0,2025-12-09 04:18:51+00:00
ynk259,Shuttle-Generic,BL-45198586,,,IN_TRANSIT_TO,,259,42.334681,-71.088667,,,2025-12-09 04:18:48+00:00
y1957,109,71994717,5521,0.0,STOPPED_AT,30.0,1957,42.419966,-71.044087,,30.0,2025-12-09 04:18:48+00:00
y1985,75,71695479,2176,0.0,STOPPED_AT,7.0,1985,42.382348,-71.131259,,226.0,2025-12-09 04:18:45+00:00
y1800,10,71466780,19,0.0,IN_TRANSIT_TO,26.0,1800,42.334469,-71.047762,,57.0,2025-12-09 04:18:49+00:00
y2012,104,71994871,5676,0.0,IN_TRANSIT_TO,4.0,2012,42.389375,-71.031156,,300.0,2025-12-09 04:18:50+00:00
y1980,70,71696091,8818,0.0,IN_TRANSIT_TO,28.0,1980,42.369886,-71.191371,,260.0,2025-12-09 04:18:49+00:00
y0783,238,71987931,4087,1.0,IN_TRANSIT_TO,25.0,0783,42.218863,-71.025366,,222.0,2025-12-09 04:18:52+00:00
y2005,88,71694564,2628,0.0,STOPPED_AT,18.0,2005,42.396516,-71.121115,,283.0,2025-12-09 04:18:51+00:00
ynk255,Shuttle-Generic,BL-80039384,,,IN_TRANSIT_TO,,255,42.329948,-71.061171,,144.0,2025-12-09 04:18:49+00:00
y1986,77,71694884,7922,1.0,STOPPED_AT,1.0,1986,42.424841,-71.184854,,90.0,2025-12-09 04:18:51+00:00
y1914,57,71467894,900,1.0,STOPPED_AT,1.0,1914,42.350305,-71.059929,,297.0,2025-12-09 04:18:49+00:00
y1260,39,72039728-OL1,51317,1.0,IN_TRANSIT_TO,18.0,1260,42.337832,-71.095076,,63.0,2025-12-09 04:18:53+00:00
y1265,39,72039727,1161,0.0,STOPPED_AT,19.0,1265,42.316836,-71.113503,,,2025-12-09 04:18:44+00:00
y1904,16,71466043,2937,1.0,STOPPED_AT,21.0,1904,42.323199,-71.060542,,25.0,2025-12-09 04:18:50+00:00
ynk224,Shuttle-Generic,BL-79002756,,,IN_TRANSIT_TO,,224,42.351872,-71.120527,,,2025-12-09 04:15:10+00:00
ynk230,Shuttle-Generic,BL-40770992,,,IN_TRANSIT_TO,,230,42.338952,-71.044268,,,2025-12-09 04:14:17+00:00
y2110,111,71994064,5603,1.0,STOPPED_AT,17.0,2110,42.394851,-71.033221,,175.0,2025-12-09 04:18:51+00:00
y1862,57,71467891,931,1.0,IN_TRANSIT_TO,27.0,1862,42.352536,-71.128281,,97.0,2025-12-09 04:18:47+00:00
y2103,110,71995100,5555,1.0,IN_TRANSIT_TO,22.0,2103,42.412559,-71.045283,,230.0,2025-12-09 04:18:51+00:00
y2077,96,71994360,2314,0.0,STOPPED_AT,4.0,2077,42.384714,-71.119389,,0.0,2025-12-09 04:18:43+00:00
y0781,225,71987752,32001,0.0,STOPPED_AT,1.0,0781,42.251833,-71.0050862,,180.0,2025-12-09 04:18:04+00:00
y3138,104,71994881,5289,1.0,IN_TRANSIT_TO,2.0,3138,42.425433,-71.071441,,90.0,2025-12-09 04:18:50+00:00
y1342,741,72040649,17096,1.0,IN_TRANSIT_TO,6.0,1342,42.34781,-71.034451,,,2025-12-09 04:18:35+00:00
y1953,104,71994946,53270,1.0,STOPPED_AT,1.0,1953,42.426509,-71.073767,,180.0,2025-12-09 04:18:48+00:00
y1979,86,71695747,22549,1.0,STOPPED_AT,1.0,1979,42.37732,-71.12009,,180.0,2025-12-09 04:18:37+00:00
y3129,86,71695860,1040,0.0,STOPPED_AT,12.0,3129,42.358036,-71.147873,,27.0,2025-12-09 04:18:48+00:00
y1701,31,72094342,1730,1.0,IN_TRANSIT_TO,8.0,1701,42.280842,-71.092517,,0.0,2025-12-09 04:18:52+00:00
y1897,8,71467261,10014,1.0,IN_TRANSIT_TO,14.0,1897,42.33356,-71.073261,,320.0,2025-12-09 04:18:52+00:00
y2084,86,71695791,1080,1.0,STOPPED_AT,13.0,2084,42.354967,-71.149884,,209.0,2025-12-09 04:18:50+00:00
y1315,746,72041566,74615,1.0,IN_TRANSIT_TO,2.0,1315,42.348006,-71.041868,,10.0,2025-12-09 04:18:49+00:00
y2092,90,71995448,29005,0.0,STOPPED_AT,4.0,2092,42.383768,-71.076489,,161.0,2025-12-09 04:18:50+00:00
y3358,450,71826156,4458,1.0,IN_TRANSIT_TO,6.0,3358,42.518052,-70.905306,,,2025-12-09 04:18:48+00:00
y1217,28,72040791,18511,1.0,STOPPED_AT,1.0,1217,42.26746,-71.09218,,270.0,2025-12-09 04:18:42+00:00
y1968,111,71994092,2832,0.0,IN_TRANSIT_TO,2.0,1968,42.362427,-71.05616,,,2025-12-09 04:18:43+00:00
ynk254,Shuttle-Generic,BL-28734765,,,IN_TRANSIT_TO,,254,42.338683,-71.044625,,,2025-12-09 04:07:32+00:00
y3315,116,71825839,5740,0.0,STOPPED_AT,1.0,3315,42.3698,-71.03904,,180.0,2025-12-09 04:18:45+00:00
y3135,111,71994173,5547,1.0,STOPPED_AT,1.0,3135,42.4157,-71.033,,315.0,2025-12-09 04:17:56+00:00
y1336,741,72040286,74613,0.0,IN_TRANSIT_TO,3.0,1336,42.35049,-71.044077,,,2025-12-09 04:18:15+00:00
y1847,43,71466754,11228,1.0,STOPPED_AT,4.0,1847,42.338385,-71.08199,,54.0,2025-12-09 04:18:52+00:00
y1922,66,71466195,1322,1.0,STOPPED_AT,30.0,1922,42.332009,-71.098261,,93.0,2025-12-09 04:18:46+00:00
y2051,109,71994822,15492,1.0,IN_TRANSIT_TO,17.0,2051,42.410877,-71.052142,,210.0,2025-12-09 04:18:50+00:00
y1307,749,72040118,15095,1.0,STOPPED_AT,9.0,1307,42.34519,-71.06516,,45.0,2025-12-09 04:18:32+00:00
ynk305,Shuttle-Generic,BL-4918529,,,IN_TRANSIT_TO,,305,42.201493,-71.064387,,,2025-12-09 03:48:53+00:00
ynk234,Shuttle-Generic,BL-44123456,,,IN_TRANSIT_TO,,234,42.348627,-71.075434,,,2025-12-09 04:17:58+00:00
ynk247,Shuttle-Generic,BL-99914110,,,IN_TRANSIT_TO,,247,42.351327,-71.116253,,265.0,2025-12-09 04:18:52+00:00
y1899,1,71468316,64,0.0,STOPPED_AT,1.0,1899,42.33904,-71.05743,,90.0,2025-12-09 04:18:41+00:00
y1812,22,71468358,334,0.0,IN_TRANSIT_TO,28.0,1812,42.28415,-71.063932,,336.0,2025-12-09 04:18:53+00:00
ynk251,Shuttle-Generic,BL-20916876,,,IN_TRANSIT_TO,,251,42.351602,-71.120751,,,2025-12-09 04:16:35+00:00
y0842,712,71953851,109853,1.0,STOPPED_AT,1.0,0842,42.3557033,-70.9675919,,90.0,2025-12-09 04:17:55+00:00
ynk235,Shuttle-Generic,BL-50688858,,,IN_TRANSIT_TO,,235,42.351673,-71.121549,,101.0,2025-12-09 04:18:51+00:00
ynk249,Shuttle-Generic,BL-61340587,,,IN_TRANSIT_TO,,249,42.349195,-71.09412,,267.0,2025-12-09 04:18:51+00:00
y3142,100,71993640,5215,0.0,STOPPED_AT,5.0,3142,42.410279,-71.084608,,340.0,2025-12-09 04:18:50+00:00
y2098,110,71995070,5576,0.0,IN_TRANSIT_TO,13.0,2098,42.41471,-71.035796,,48.0,2025-12-09 04:18:51+00:00
y1797,16,71467267,2922,1.0,IN_TRANSIT_TO,5.0,1797,42.302427,-71.090289,,136.0,2025-12-09 04:18:48+00:00
y1930,83,71694866,2589,1.0,IN_TRANSIT_TO,12.0,1930,42.38558,-71.11377,,135.0,2025-12-09 04:18:37+00:00
y1649,Shuttle-Generic,BL-31114974,,,IN_TRANSIT_TO,,1649,42.254724,-71.124193,,,2025-12-09 04:18:49+00:00
ynk248,Shuttle-Generic,BL-122160725,,,IN_TRANSIT_TO,,248,42.351421,-71.117383,,277.0,2025-12-09 04:18:50+00:00
y1640,32,72094886,16498,0.0,IN_TRANSIT_TO,11.0,1640,42.271077,-71.120424,,192.0,2025-12-09 04:18:50+00:00
y1769,15,71468531,323,1.0,STOPPED_AT,1.0,1769,42.29997,-71.06145,,270.0,2025-12-09 04:18:38+00:00
y1838,66,71465960,64000,0.0,STOPPED_AT,1.0,1838,42.32948,-71.08388,,270.0,2025-12-09 04:18:37+00:00
y1951,111,71994132,5587,1.0,STOPPED_AT,2.0,1951,42.41338,-71.03315,,135.0,2025-12-09 04:18:35+00:00
y3150,75,71695596,2139,1.0,IN_TRANSIT_TO,2.0,3150,42.394098,-71.169665,,112.0,2025-12-09 04:18:51+00:00
y3354,116,71825613,5745,0.0,IN_TRANSIT_TO,4.0,3354,42.378398,-71.039184,,358.0,2025-12-09 04:18:50+00:00
ynk232,Shuttle-Generic,BL-81250482,,,IN_TRANSIT_TO,,232,42.348563,-71.075992,,,2025-12-09 04:18:01+00:00
y1311,743,72040987,17096,1.0,IN_TRANSIT_TO,6.0,1311,42.357716,-71.026286,,,2025-12-09 04:18:51+00:00
ynk222,Shuttle-Generic,BL-117294302,,,IN_TRANSIT_TO,,222,42.349843,-71.075106,,,2025-12-09 04:15:15+00:00
y2104,110,71995051,52713,0.0,STOPPED_AT,1.0,2104,42.391146,-71.069899,,28.0,2025-12-09 04:18:49+00:00
