route_id,direction_id,median,mean,std,count,expected_headway_min,headway_health_score
39,0.0,0.05,0.030952380952380953,0.2438936796723666,7,10.0,1.0212941298719984
39,1.0,0.016666666666666666,0.07777777777777778,0.13574213025411797,3,10.0,1.005796435247634
4,1.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
41,0.0,-0.48333333333333334,-0.48333333333333334,,1,10.0,1.0483333333333333
41,1.0,0.45,0.45,,1,10.0,0.9550000000000001
411,0.0,-0.4,-0.4,,1,10.0,1.04
42,1.0,0.15000000000000002,0.15000000000000002,0.44783429475148007,2,10.0,1.029783429475148
424,1.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
426,0.0,0.016666666666666666,0.016666666666666666,,1,10.0,0.9983333333333333
426,1.0,0.6333333333333333,0.6333333333333333,,1,10.0,0.9366666666666668
429,1.0,-0.4666666666666667,-0.4666666666666667,,1,10.0,1.0466666666666666
430,0.0,-0.31666666666666665,-0.31666666666666665,,1,10.0,1.0316666666666667
435,0.0,-0.016666666666666666,-0.016666666666666666,,1,10.0,1.0016666666666667
44,0.0,0.0,0.0,,1,10.0,1.0
44,1.0,0.35,0.35,,1,10.0,0.9650000000000001
442,1.0,0.5166666666666667,0.5166666666666667,,1,10.0,0.9483333333333333
45,0.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
45,1.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
450,1.0,0.48333333333333334,0.48333333333333334,0.6599663291074443,2,10.0,1.017663299577411
455,0.0,-0.33333333333333337,-0.33333333333333337,0.4478342947514801,2,10.0,1.0781167628084813
455,1.0,-0.325,-0.325,0.5539003119294622,2,10.0,1.0878900311929462
47,0.0,0.13333333333333333,0.055555555555555546,0.5045166370270034,3,10.0,1.0448961081471448
47,1.0,0.008333333333333335,0.02916666666666666,0.35626015255189053,4,10.0,1.0327093485885224
501,0.0,-0.55,-0.55,,1,10.0,1.0550000000000002
501,1.0,-0.13333333333333333,-0.19999999999999998,0.24037008503093263,3,10.0,1.0440370085030932
504,0.0,0.16666666666666666,0.16666666666666666,,1,10.0,0.9833333333333334
504,1.0,0.13333333333333333,0.13333333333333333,0.25927248643506745,2,10.0,1.0125939153101735
505,0.0,-0.03333333333333333,-0.03333333333333333,,1,10.0,1.0033333333333334
505,1.0,0.008333333333333333,0.008333333333333333,0.035355339059327376,2,10.0,1.0027022005725994
51,0.0,-0.3,-0.3,,1,10.0,1.03
57,0.0,-0.05,-0.022222222222222216,0.9419738928520338,3,10.0,1.0964196115074256
57,1.0,0.04166666666666667,0.0027777777777777727,0.6747358879728561,6,10.0,1.067195811019508
59,1.0,0.016666666666666666,0.016666666666666666,,1,10.0,0.9983333333333333
60,1.0,0.05,0.05,,1,10.0,0.9949999999999999
62,1.0,0.03333333333333333,0.03333333333333333,,1,10.0,0.9966666666666667
64,0.0,-0.016666666666666666,-0.016666666666666666,,1,10.0,1.0016666666666667
64,1.0,0.06666666666666667,0.06666666666666667,0.3299831645537222,2,10.0,1.0263316497887056
65,0.0,0.0,0.0,0.2592724864350674,2,10.0,1.0259272486435067
65,1.0,-0.05,0.0,0.27938424357067015,5,10.0,1.027938424357067
66,0.0,-0.03333333333333333,-0.07000000000000002,0.6249888887901216,5,10.0,1.069498888879012
66,1.0,-0.08333333333333334,-0.005555555555555557,0.6398495193460783,6,10.0,1.0645405074901635
69,0.0,-0.08333333333333333,-0.08333333333333333,,1,10.0,1.0083333333333333
7,1.0,0.26666666666666666,0.029999999999999992,0.6617946979405488,5,10.0,1.0631794697940549
70,0.0,-0.05833333333333329,-0.05833333333333329,0.8131727983645296,2,10.0,1.0871506131697863
70,1.0,0.08333333333333333,0.08333333333333333,0.12963624321753373,5,10.0,1.00463029098842
708,0.0,0.2,0.2,,1,10.0,0.9800000000000001
71,0.0,0.025000000000000022,0.025000000000000022,0.7896025723249781,2,10.0,1.076460257232498
71,1.0,0.06666666666666667,0.06666666666666667,,1,10.0,0.9933333333333334
73,0.0,0.0,0.0,,1,10.0,1.0
73,1.0,0.01666666666666667,0.01666666666666667,0.047140452079103175,2,10.0,1.0030473785412437
741,0.0,1.4166666666666667,1.4166666666666667,2.333452377915607,2,10.0,1.0916785711248942
